"project","plot","subplot","survey","tree.date","family","species","pft","wsg","wsg.sd","tree","stem","x","y","z","status","allom.key","a.stem","h.t","h.t.mod","d.stem","d.stem.valid","d.ht","c.w","m.agb"
"australia_ausplotsforests","TCFTSR001","TCFTSR001-1","1","2012-01-23",NA,"Nothofagus cunninghamii","EA",0.604285714285714,0.0941339098036177,"1979","1",470970.960076951,5229237.99656368,NA,1,19,0.0330063578167778,NA,20.7338743940684,0.205,1,1.3,NA,103.245818776057
"australia_ausplotsforests","TCFTSR001","TCFTSR001-1","1","2012-01-23",NA,"Nothofagus cunninghamii","EA",0.604285714285714,0.0941339098036177,"1921","1",470977.776646617,5229208.74772818,NA,1,19,0.0286521103989023,NA,19.220357142612,0.191,1,1.3,NA,86.4865067959443
"australia_ausplotsforests","TCFTSR001","TCFTSR001-1","1","2012-01-23",NA,"Eucalyptus obliqua","EA",0.830092581326441,0.0941339098036177,"1920","1",470974.929625202,5229209.8497577,NA,1,19,0.420835185504274,56.2,53.3980701556405,0.732,1,1.3,NA,2500.21036696471
"australia_ausplotsforests","TCFTSR001","TCFTSR001-1","1","2012-01-23",NA,"Eucalyptus obliqua","EA",0.830092581326441,0.0941339098036177,"1919","1",470971.016197122,5229211.77201696,NA,1,19,0.343156950949776,54.7,51.4314276832946,0.661,1,1.3,NA,1936.53459235069
"australia_ausplotsforests","TCFTSR001","TCFTSR001-1","1","2012-01-23",NA,"Nothofagus cunninghamii","EA",0.604285714285714,0.0941339098036177,"1918","1",470976.492006528,5229214.61200135,NA,1,19,0.0286521103989023,NA,19.220357142612,0.191,1,1.3,NA,86.4865067959443
"australia_ausplotsforests","TCFTSR001","TCFTSR001-1","1","2012-01-23",NA,"Acacia melanoxylon","EA",0.787831280193237,0.0941339098036177,"1917","1",470968.500467808,5229212.73175964,NA,1,19,0.0366435367114714,28,21.9055133442332,0.216,1,1.3,NA,117.682801251682
"australia_ausplotsforests","TCFTSR001","TCFTSR001-1","1","2012-01-23",NA,"Nothofagus cunninghamii","EA",0.604285714285714,0.0941339098036177,"1916","1",470967.714371688,5229208.72276315,NA,1,19,0.010028749148422,15.1,10.5237355410349,0.113,1,1.3,NA,23.2353504482867
"australia_ausplotsforests","TCFTSR001","TCFTSR001-1","1","2012-01-23",NA,"Eucalyptus obliqua","EA",0.830092581326441,0.0941339098036177,"1914","1",470968.211631002,5229206.57736501,NA,1,19,0.817128249198705,51.5,57.5435703616717,1.02,1,1.3,NA,5738.19938704345
"australia_ausplotsforests","TCFTSR001","TCFTSR001-1","1","2012-01-23",NA,"Nothofagus cunninghamii","EA",0.604285714285714,0.0941339098036177,"1913","1",470971.263016378,5229206.02144479,NA,1,19,0.0191134497044403,NA,15.3504330971837,0.156,1,1.3,NA,52.0984495550183
"australia_ausplotsforests","TCFTSR001","TCFTSR001-1","1","2012-01-23",NA,"Nothofagus cunninghamii","EA",0.604285714285714,0.0941339098036177,"1912","1",470971.889977723,5229202.06961996,NA,1,19,0.00933131557932508,NA,10.0771048542606,0.109,1,1.3,NA,21.2303305224546
