"species","new.family","new.genus","new.species"
"Eucalyptus cypellocarpa","Myrtaceae","Eucalyptus","cypellocarpa"
"Eucalyptus spp","Myrtaceae","Eucalyptus","spp"
"Eucalyptus fastigata","Myrtaceae","Eucalyptus","fastigata"
"Eucalyptus sieberi","Myrtaceae","Eucalyptus","sieberi"
"Pittosporum undulatum","Pittosporaceae","Pittosporum","undulatum"
"Eucalyptus diversicolor","Myrtaceae","Eucalyptus","diversicolor"
"Trymalium odoratissimum","Rhamnaceae","Trymalium","odoratissimum"
"Corymbia calophylla","Myrtaceae","Corymbia","calophylla"
"UWARDead",NA,"UWARDead","NA"
"Bedfordia salicina","Compositae","Bedfordia","salicina"
"Leptospermum lanigerum","Myrtaceae","Leptospermum","lanigerum"
"Eucalyptus jacksonii","Myrtaceae","Eucalyptus","jacksonii"
"Eucalyptus guilfoylei","Myrtaceae","Eucalyptus","guilfoylei"
"Allocasuarina decussata","Casuarinaceae","Allocasuarina","decussata"
"Agonis flexuosa","Myrtaceae","Agonis","flexuosa"
"Acacia verticillata","Fabaceae","Acacia","verticillata"
"Coprosma spp","Rubiaceae","Coprosma","spp"
"Acacia pentadenia","Fabaceae","Acacia","pentadenia"
"Elaeocarpus holopetalus","Elaeocarpaceae","Elaeocarpus","holopetalus"
"Doryphora sassafras","Atherospermataceae","Doryphora","sassafras"
"Eucalyptus nitens","Myrtaceae","Eucalyptus","nitens"
"Correa lawrenceana var latrobeana","Rutaceae","Correa","lawrenceana"
"Coprosma quadrifida","Rubiaceae","Coprosma","quadrifida"
"UNNCU18",NA,"UNNCU18","NA"
"UNNCU26",NA,"UNNCU26","NA"
"Pilidiostigma glabrum","Myrtaceae","Pilidiostigma","glabrum"
"Endiandra discolor","Lauraceae","Endiandra","discolor"
"Acmena smithii","Myrtaceae","Acmena","smithii"
"UNNCU29",NA,"UNNCU29","NA"
"Callistemon salignus","Myrtaceae","Callistemon","salignus"
"Eucalyptus dalrympleana","Myrtaceae","Eucalyptus","dalrympleana"
"Eucalyptus coccifera","Myrtaceae","Eucalyptus","coccifera"
"Eucalyptus subcrenulata","Myrtaceae","Eucalyptus","subcrenulata"
"Ozothamnus antennaria","Compositae","Ozothamnus","antennaria"
"Eucalyptus urnigera","Myrtaceae","Eucalyptus","urnigera"
"Hakea lissosperma","Proteaceae","Hakea","lissosperma"
"Coprosma nitida","Rubiaceae","Coprosma","nitida"
"Persoonia silvatica","Proteaceae","Persoonia","silvatica"
"Eucalyptus radiata","Myrtaceae","Eucalyptus","radiata"
"UNNCEUC1",NA,"UNNCEUC1","NA"
"UNNCEUC3",NA,"UNNCEUC3","NA"
"UNNCG24",NA,"UNNCG24","NA"
"UNNCG26",NA,"UNNCG26","NA"
"UNNCEUC4",NA,"UNNCEUC4","NA"
"UNNCG28",NA,"UNNCG28","NA"
"UNNCG30",NA,"UNNCG30","NA"
"Meleleuca ericifolia",NA,"Meleleuca","ericifolia"
"Acacia schinoides","Fabaceae","Acacia","schinoides"
"UNNCU21",NA,"UNNCU21","NA"
"UNNCU22",NA,"UNNCU22","NA"
"Melicope hayesii","Rutaceae","Melicope","hayesii"
"UNNCU23",NA,"UNNCU23","NA"
"Prostanthera lasianthos var lasianthos","Lamiaceae","Prostanthera","lasianthos"
"Eucalyptus viminalis","Myrtaceae","Eucalyptus","viminalis"
"UVCFUS1",NA,"UVCFUS1","NA"
"Leptospermum spp","Myrtaceae","Leptospermum","spp"
"Anopterus glandulosus","Escalloniaceae","Anopterus","glandulosus"
"Prostanthera lasianthos","Lamiaceae","Prostanthera","lasianthos"
"Lomatia myricoides","Proteaceae","Lomatia","myricoides"
