variable,units,group,type,has_methods,essential,label,minValue,maxValue,allowableValues,description
z,m,tree,numeric,TRUE,FALSE,elevation,NA,NA,NA,elevation relative to geoid coordinate
status,NA,tree,numeric,TRUE,TRUE,status,0,1,"0,1","live tree (1=TRUE,0=FALSE)"
allom.key,NA,tree,numeric,TRUE,TRUE,allometric identifier,0,NA,NA,key to allometric LUT
a.stem,m2,tree,numeric,TRUE,FALSE,stem area,1.00E-20,100,NA,area of total stem cross-section at measurement height
h.t,m,tree,numeric,TRUE,FALSE,height,1.00E-20,150,NA,total height of plant from ground to highest leaf
h.t.mod,NA,tree,numeric,FALSE,TRUE,modelled tree height,1.00E-20,150,NA,tree heights modelled using local or regional DBH-Ht relationship
d.stem,m,tree,numeric,TRUE,TRUE,stem diameter,1.00E-20,25,NA,diameter of stem at measurement height
d.stem.valid,NA,tree,numeric,FALSE,FALSE,valid stem diameter,0.00E+00,1,"0,1","valid tree diameter to use in AGB calculation (1=TRUE,0=FALSE)"
d.ht,m,tree,numeric,FALSE,TRUE,height of stem measurement,1.00E-20,50,NA,height at which stem diameter was measured
c.w,m,tree,numeric,TRUE,FALSE,crown width,1.00E-20,100,NA,diameter or width of crown
m.agb,kg,tree,numeric,TRUE,FALSE,aboveground mass,1.00E-20,1.00E+07,NA,mass of above-ground components of tree
