"area.code","time","when","main","split","stage","dist.type","dist.year","dist.ed22","dist.age","leitold","treeid","common.name","scientific.name","family.name","type","ident","poly","cnpj","area","total.area","dbh.cutoff","lon","lat","UTM.Easting","UTM.Northing","X","Y","CA","RE","RN","RW","RS","D.class","light","canopy","gf.WSD","gf.crown","gf.htot","farea","WSD","DBH","size","BA","AGC","AE.AGC","ME.AGC","LNAGC","SD.LNAGC","VOL","Dead","Hcom","Htot","pft","colour","cex","ndead","nplant","ntotal","flgsz","gtstd","tree.date","identifier","longitude","latitude","count","stn.palace","agb.chave","acd.chave","se.agb.measurement","se.agb.allometry","se.agb.sampling","se.agb.census","se.acd.measurement","se.acd.allometry","se.acd.sampling","se.acd.census","volume","basal.area","crown.area","canopy.hgt","lorey.hgt","wood.dens","nplant.std","ba.std","ca.std","agb.std","acd.std","nplant.shape","nplant.scale","lorey.hgt.std","wood.dens.std","nplant.005.010","ba.005.010","ca.005.010","agb.005.010","acd.005.010","nplant.010.020","ba.010.020","ca.010.020","agb.010.020","acd.010.020","nplant.020.035","ba.020.035","ca.020.035","agb.020.035","acd.020.035","nplant.035.055","ba.035.055","ca.035.055","agb.035.055","acd.035.055","nplant.055.Inf","ba.055.Inf","ca.055.Inf","agb.055.Inf","acd.055.Inf","date"
"AND_A01",2013,"8/22/2013","P01","B01","unknown","UKN00","#NAME?",3,60,"CVL1999+BRN2009",11,"maravuvuia","Croton matourensis","Euphorbiaceae","O",1,"P01_B01_050x050m","T01_P01_U0011z",262.2850219,2636.919079,10,-46.83059321,-2.548232448,296488.3847,9718177.767,3.5,47.2,6.126105675,1.2,1.6,1.8,1,NA,1,"S",10,0,0,1,0.388,10.8,"010-020",91.60884178,13.88114181,5.117736865,1.881764652,2.566806715,0.357,0.071552277,FALSE,7.69,10.57,2,"chartreuse",0.409552691,0,0.003812646,0.003812646,0,1,2013-08-22,"P01_B01_050x050m",-46.83059321,-2.548232448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND_A01",2013,"8/22/2013","P01","B01","unknown","UKN00","#NAME?",3,60,"CVL1999+BRN2009",12,"morta",NA,NA,"O",1,"P01_B01_050x050m","T01_P01_U0012z",262.2850219,2636.919079,10,-46.83059321,-2.548232448,296491.8467,9718178.307,0.2,48,0.031415927,0.1,0.1,0.1,0.1,3,NA,NA,0,1,0,1,0.587,11.5,"010-020",103.8689071,11.1210377,4.100134225,2.1900371,2.345114103,0.357,0.037891099,TRUE,NA,3.59,2,"chartreuse",0.419105383,0.003812646,0,0.003812646,0,1,2013-08-22,"P01_B01_050x050m",-46.83059321,-2.548232448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND_A01",2013,"8/22/2013","P01","B01","unknown","UKN00","#NAME?",3,60,"CVL1999+BRN2009",13,"embauba vermelha","Cecropia distachya","Urticaceae","O",1,"P01_B01_050x050m","T01_P01_U0013z",262.2850219,2636.919079,10,-46.83059321,-2.548232448,296492.5496,9718176.71,0.2,49.7,4.71238898,1,1.5,1.4,1,NA,2,"S",11,0,0,1,0.339857143,11,"010-020",95.03317777,13.71517099,5.056546293,1.820135579,2.554778092,0.357,0.080711389,FALSE,9.04,11.49,2,"chartreuse",0.412282032,0,0.003812646,0.003812646,0,1,2013-08-22,"P01_B01_050x050m",-46.83059321,-2.548232448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND_A01",2013,"8/22/2013","P01","B01","unknown","UKN00","#NAME?",3,60,"CVL1999+BRN2009",14,"breu barrote","Tetragastris panamensis","Burseraceae","O",1,"P01_B01_050x050m","T01_P01_U0014z",2636.919079,2636.919079,10,-46.83059321,-2.548232448,296464.4028,9718177.587,25,38.5,42.3800849,2.3,3.2,4.8,4.4,NA,2,"S",10,0,0,1,0.717,44.8,"035-055",1576.32553,555.2798957,204.7220921,32.91677742,6.255747803,0.357,1.548897896,FALSE,9.99,14.56,3,"chartreuse4",0.873540561,0,0.00037923,0.00037923,0,1,2013-08-22,"P01_B01_050x050m",-46.83059321,-2.548232448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND_A01",2013,"8/22/2013","P01","B01","unknown","UKN00","#NAME?",3,60,"CVL1999+BRN2009",15,"andiroba","Carapa guianensis","Meliaceae","O",1,"P01_B01_050x050m","T01_P01_U0015z",2636.919079,2636.919079,10,-46.83059321,-2.548232448,296448.7425,9718175.084,40,35,18.06415776,3.7,2.6,1.3,2,NA,1,"E",10,0,0,1,0.53,44.4,"035-055",1548.302523,585.1580209,215.73764,33.52044149,6.308157432,0.357,2.208143475,FALSE,14.9,21.16,2,"chartreuse",0.86808188,0,0.00037923,0.00037923,0,1,2013-08-22,"P01_B01_050x050m",-46.83059321,-2.548232448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND_A01",2013,"8/22/2013","P01","B01","unknown","UKN00","#NAME?",3,60,"CVL1999+BRN2009",16,"matamata branco","Eschweilera coriacea","Lecythidaceae","O",1,"P01_B01_050x050m","T01_P01_U0016z",2636.919079,2636.919079,10,-46.83059321,-2.548232448,296457.3621,9718188.646,27,26,42.33296101,3.5,3.6,4.2,3.4,NA,1,"E",10,0,0,1,0.852,41.6,"035-055",1359.178646,615.4393395,226.9018384,35.2381567,6.358611886,0.357,1.444693285,FALSE,12.08,15.79,4,"#004E00",0.829871114,0,0.00037923,0.00037923,0,1,2013-08-22,"P01_B01_050x050m",-46.83059321,-2.548232448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND_A01",2013,"8/22/2013","P01","B01","unknown","UKN00","#NAME?",3,60,"CVL1999+BRN2009",17,"inga vermelho","Inga alba","Fabaceae","O",1,"P01_B01_050x050m","T01_P01_U0017z",2636.919079,2636.919079,10,-46.83059321,-2.548232448,296461.6868,9718191.516,22,25,43.98229715,4.3,6.2,2.7,1.8,NA,1,"E",10,0,0,1,0.586,37.8,"035-055",1122.208312,457.0765108,168.5162029,26.82209169,6.061126297,0.357,1.559988092,FALSE,10.5,20.5,2,"chartreuse",0.778013647,0,0.00037923,0.00037923,0,1,2013-08-22,"P01_B01_050x050m",-46.83059321,-2.548232448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND_A01",2013,"8/22/2013","P01","B01","unknown","UKN00","#NAME?",3,60,"CVL1999+BRN2009",18,"pente-de-macaco","Apeiba petoumo","Malvaceae","O",1,"P01_B01_050x050m","T01_P01_U0018z",2636.919079,2636.919079,10,-46.83059321,-2.548232448,296447.2845,9718165.528,45,43,31.53373626,2.8,5.1,2.7,2.2,NA,1,"E",11,0,0,1,0.264,50.5,"035-055",2002.961666,526.5144368,194.116765,43.04010046,6.202554252,0.357,3.988745733,FALSE,20.35,29.47,2,"chartreuse",0.951326763,0,0.00037923,0.00037923,0,1,2013-08-22,"P01_B01_050x050m",-46.83059321,-2.548232448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND_A01",2013,"8/22/2013","P01","B01","unknown","UKN00","#NAME?",3,60,"CVL1999+BRN2009",19,"cajuacu","Anacardium spruceanum","Anacardiaceae","O",1,"P01_B01_050x050m","T01_P01_U0019z",2636.919079,2636.919079,10,-46.83059321,-2.548232448,296430.2458,9718192.187,50,13,193.0901385,10,8.7,6.5,6.2,NA,1,"E",10,0,0,1,0.479,101.6,"055-Inf",8107.319666,4956.9097,1827.52686,227.5118089,8.444813281,0.357,20.69690898,FALSE,25.95,39.92,2,"chartreuse",1.648673237,0,0.00037923,0.00037923,1,1,2013-08-22,"P01_B01_050x050m",-46.83059321,-2.548232448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND_A01",2013,"8/22/2013","P01","B01","unknown","UKN00","#NAME?",3,60,"CVL1999+BRN2009",20,"escorrega-macaco","Capirona decorticans","Rubiaceae","O",1,"P01_B01_050x050m","T01_P01_U0020z",2636.919079,2636.919079,10,-46.83059321,-2.548232448,296438.3163,9718204.362,38,5,82.46680716,4.2,5.2,5.8,5.3,NA,1,"E",10,0,0,1,0.593,48.3,"035-055",1832.247521,1064.029886,392.2894131,51.61718649,6.906094258,0.357,3.588633681,FALSE,20.76,29.49,2,"chartreuse",0.921304018,0,0.00037923,0.00037923,0,1,2013-08-22,"P01_B01_050x050m",-46.83059321,-2.548232448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
