uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"80f00bfb-76b5-448e-b0a5-bd28fb04583d","ABBY_073.basePlot.vst","2020-08-26","D16","ABBY","ABBY_073","tower","evergreenForest",45.762944,-122.324601,"WGS84",20.1,552520.56,5067931.28,"10N",336.5,0.1,"OK","vst_ABBY_2020","towerSubset","allGrowthForms","23 | 39","NEON.DOC.000987vJ","Y","Y","Y","Y","presentInAll","Y","presentInAll","N",,"10","noneSelected",800,40,800,"Ferns present but not sampled AY20.",,,
"11747686-bb34-4a45-8b5c-ce1766d6d657","ABBY_061.basePlot.vst","2020-08-26","D16","ABBY","ABBY_061","tower","evergreenForest",45.762451,-122.331158,"WGS84",20.1,552011.14,5067872.22,"10N",362.8,0.1,"OK","vst_ABBY_2020","towerSubset","allGrowthForms","21 | 39","NEON.DOC.000987vJ","Y","Y","Y","Y","presentInAll","Y","presentInAll","N",,"100","noneSelected",800,400,800,"Ferns present but not sampled AY20.",,,
"d6adf231-ed45-4c9b-88de-dbdc6282aaa1","ABBY_062.basePlot.vst","2020-08-26","D16","ABBY","ABBY_062","tower","evergreenForest",45.763476,-122.328069,"WGS84",20.1,552250.39,5067988.12,"10N",342.2,0.2,"OK","vst_ABBY_2020","towerSubset","allGrowthForms","39 | 41","NEON.DOC.000987vJ","Y","Y","Y","Y","presentInAll","Y","presentInAll","N",,"25","noneSelected",800,100,800,"Ferns present but not sampled AY20.",,,
"c78fb7f0-87a1-4081-b325-ce1ef95399df","ABBY_063.basePlot.vst","2020-08-26","D16","ABBY","ABBY_063","tower","evergreenForest",45.760513,-122.330039,"WGS84",20.1,552099.96,5067657.64,"10N",362.2,0.1,"OK","vst_ABBY_2020","towerSubset","allGrowthForms","21 | 39","NEON.DOC.000987vJ","Y","Y","Y","Y","presentInAll","Y","presentInAll","N",,"100","noneSelected",800,400,800,"nested WST reduced to 100 m^2 per RITM0027653. Ferns present but not sampled AY20.",,,
"8b88ad30-ba5a-4e07-ac8d-2be764c6c3e0","ABBY_070.basePlot.vst","2020-08-26","D16","ABBY","ABBY_070","tower","evergreenForest",45.761334,-122.330793,"WGS84",20.1,552040.56,5067748.36,"10N",363.1,0.1,"OK","vst_ABBY_2020","towerSubset","allGrowthForms","21 | 39","NEON.DOC.000987vJ","Y","Y","Y","Y","presentInAll","Y","presentInAll","N",,"100","noneSelected",800,400,800,"Ferns present but not sampled AY20.",,,
