USDA PLANTS SYMBOL,FIA CODE (3 digit),FVS ALPHA CODE,COMMON NAME (from FSVeg),SCIENTIFIC NAME (from FSVeg),CS_Mapped_To,LS_Mapped_To,NE_Mapped_To,SN_Mapped_To
SAPY  ,926,,Balsam Willow,Salix pyrifolia Andersson,WI,WI,BL,WI
SASE2 ,,,Autumn Willow,Salix serissima (L.H. Bailey) Fernald,WI,WI,BL,WI
SATA  ,,,Yewleaf Willow,Salix taxifolia Kunth,WI,WI,BL,WI
SANIC4,,,Common Elderberry,Sambucus nigra L. ssp. canadensis (L.) R. Bolli,NC,NC,NC,OT
SARA2 ,,,Red Elderberry,Sambucus racemosa L.,NC,NC,NC,OT
SARAR3,,,Red Elderberry Var Racemosa,Sambucus racemosa L. var. racemosa,NC,NC,NC,OT
SASAD ,919,,Western Soapberry,Sapindus saponaria L. var. drummondii (Hook. & Arn.) L.D. Benson,NC,NC,NC,OT
SAAL5 ,931,SS,Sassafras,Sassafras albidum (Nutt.) Nees,SS,SS,SS,SS
SCAC2 ,888,,"Schefflera, Octopus Tree",Schefflera actinophylla (Endl.) Harms,NC,NC,NC,OT
SIFO  ,890,,False Mastic,Sideroxylon foetidissimum Jacq.,NC,NC,NC,OT
SIDER2,,,Bully,Sideroxylon L.,NC,NC,NC,OH
SILAL3,381,,"Chittamwood, Gum Bumelia",Sideroxylon lanuginosum Michx. ssp. lanuginosum,NC,NC,NC,OH
SISA6 ,891,,"White Bully, Willow Bustic",Sideroxylon salicifolium (L.) Lam.,NC,NC,NC,OT
SITE2 ,,,Tough Bully,Sideroxylon tenax L.,NC,NC,NC,OT
SIGL3 ,895,,Paradise Tree,Simarouba glauca DC.,NC,NC,NC,OT
SOAM3 ,935,MA,American Mtn-Ash,Sorbus americana Marsh.,UH,MA,OH,OH
SOAU  ,936,,European Mtn-Ash,Sorbus aucuparia L.,UH,MA,OH,OH
SODE3 ,937,,Northern Mountain Ash,Sorbus decora (Sarg.) C.K. Schneid.,UH,MA,OH,OH
SORBU ,934,,Mountain Ash Spp.,Sorbus L.,UH,MA,OH,OH
STTR  ,,,American Bladdernut,Staphylea trifolia L.,NC,NC,NC,OH
SWMA2 ,940,,Mahogany,Swietenia mahagoni (L.) Jacq.,UH,CH,OH,OH
SYCU  ,896,,Java Plum,Syzygium cumini (L.) Skeels,NC,NC,NC,OT
TAIN2 ,897,,Tamarind,Tamarindus indica L.,NC,NC,NC,OT
TAMAR2,991,,Saltcedar,Tamarix L.,NC,NC,NC,OH
TARA  ,,,Saltcedar Var.,Tamarix ramosissima Ledeb.,NC,NC,NC,OH
TAAS  ,222,PC,Pondcypress,Taxodium ascendens Brongn.,BY,OS,OC,PC
TADI2 ,221,BY,Baldcypress,Taxodium distichum (L.) Rich.,BY,OS,OC,BY
CUPRE ,050,,Cypress Spp.,Taxodium Rich.,JU,RC,OC,JU
TAFL  ,232,,Florida Yew,Taxus floridana Nutt. ex Chapm.,OS,OS,OS,OS
TAXUS ,230,,Yew Spp.,Taxus L.,OS,OS,OS,OS
TEHE3 ,,,Saintedwood,Ternstroemia heptasepala Krug & Urb.,NC,NC,NC,OH
THMO4 ,913,,Key Thatch Palm,Thrinax morrisii H. Wendl.,NC,NC,NC,OT
THRA2 ,914,,Florida Thatch Palm,Thrinax radiata Lodd. ex Schult. & Schult. f.,NC,NC,NC,OT
THUJA ,240,OC,Other cedar,Thuja L.,OS,WC,WC,JU
THOC2 ,241,WC,Northern White-Cedar,Thuja occidentalis L.,OS,WC,WC,JU
TIAM  ,951,BW,American Basswood,Tilia americana L.,BW,BW,BW,BW
TIAMC ,953,,Carolina Basswood,Tilia americana L. var. caroliniana (Mill.) Castigl.,BW,BW,BW,BW
TIAMH ,952,WB,White Basswood,Tilia americana L. var. heterophylla (Vent.) Louden,BW,BW,WB,BW
TILIA ,950,,Basswood Spp.,Tilia L.,BW,BW,BW,BW
TORRE ,250,,Torreya Spp.,Torreya Arn.,OS,OS,OS,OS
TOTA  ,252,,Florida Torreya,Torreya taxifolia Arn.,OS,OS,OS,OS
TRSE6 ,994,,Chinese Tallowtree,Triadica sebifera (L.) Small,NC,NC,NC,OH
TSCA  ,261,EH,Eastern Hemlock,Tsuga canadensis (L.) Carri¨¨re,OS,EH,EH,HM
TSCA2 ,262,,Carolina Hemlock,Tsuga caroliniana Engelm.,OS,EH,HM,HM
TSUGA ,260,HM,Hemlock Spp.,Tsuga Carri¨¨re,OS,EH,HM,HM
ULAL  ,971,WE,Winged Elm,Ulmus alata Michx.,WE,AE,EL,WE
ULAM  ,972,AE,American Elm,Ulmus americana L.,AE,AE,AE,AE
ULCR  ,973,,Cedar Elm,Ulmus crassifolia Nutt.,EL,RL,EL,EL
ULMUS ,970,EL,Elm Spp.,Ulmus L.,EL,AE,EL,EL
ULPU  ,974,SI,Siberian Elm,Ulmus pumila L.,SI,AE,EL,EL
ULRU  ,975,RL,Slippery Elm,Ulmus rubra Muhl.,RL,RL,RL,RL
ULSE  ,976,,September Elm,Ulmus serotina Sarg.,EL,RL,EL,EL
ULTH  ,977,RE,Rock Elm,Ulmus thomasii Sarg.,RE,RE,EL,EL
URCH2 ,,,Ortiga,Urera chlorocarpa Urb.,NC,NC,NC,OH
VAAR  ,,,Farkleberry,Vaccinium arboreum Marsh.,NC,NC,NC,OT
VEFO  ,995,,Tung-Oil-Tree,Vernicia fordii (Hemsl.) Airy-Shaw,NC,NC,NC,OH
VIDEL ,,,Southern Arrowwood,Viburnum dentatum L.,NC,NC,NC,OH
VIBUR ,,,Viburnum,Viburnum L.,NC,NC,NC,OH
VILE  ,,,Nannyberry,Viburnum lentago L.,NC,NC,NC,OH
VINUC ,,,With-Rod,Viburnum nudum L. var. cassinoides (L.) Torr. & A. Gray,NC,NC,NC,OH
VIOPA2,,,American Cranberrybush,Viburnum opulus L. var. americanum Aiton,NC,NC,NC,OH
VIPR  ,,,Blackhaw,Viburnum prunifolium L.,NC,NC,NC,OH
VIRU  ,,,Rusty Blackhaw,Viburnum rufidulum Raf.,NC,NC,NC,OT
VIDE  ,,,Southern Arrowwood,Vicia disperma,NC,NC,NC,OT
XYSC3 ,,,Schwaneck¡¯S Logwood,Xylosma schwaneckeana (Krug & Urb.) Urb.,NC,NC,NC,OH
ZAAM  ,,,Common Pricklyash,Zanthoxylum americanum Mill.,NC,NC,NC,OT
ZANTH ,,,Pricklyash,Zanthoxylum L.,NC,NC,NC,OH
