"project","date","survey","region","l.project","l.instr","l.date","l.region","l.path","l.epsg"
"newzealand_forestservice","2016-06-30","BO102A5_PF160630","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-05","BO103_PF150805","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-05","BO104_PF150805","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-01","BO118_PF150901","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-07-06","BO6_PF150706","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-07-08","BO9_PF150708","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-01","BO99_PF150801","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-07-09","BP10_PF150709","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-04","BP101_PF150804","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2016-07-06","BP101_PF160706","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-07-31","BQ103_PF150731","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-07-09","BQ12_PF150709","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-02","BQ123_PF150902","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-18","BR106_PF150818","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-06","BT100_PF150806","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2016-06-28","BT100_PF160628","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-12","BU104_PF150812","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2016-07-01","BU99A5_PF160701","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-03","BV100_PF150803","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-03","BV102_PF150803","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-17","BW103_PF150817","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-06-19","BW19_PF150619","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-14","BY101_PF150814","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-07-12","BY23_PF150712","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-06-21","BZ19_PF150621","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-06-21","BZ22_PF150621","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-06-20","CA17_PF150620","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-06-18","CA20_PF150618","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-06-18","CA21_PF150618","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-06-17","CE22_PF150617","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-06-22","CE28_PF150622","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-06-24","CG36_PF150624","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-06-23","CG37_PF150623","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-06-23","CG38_PF150623","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-13","CG72_PF150913","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-07-13","CH32_PF150713","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-07-14","CH34_PF150714","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-14","CI81_PF150914","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-07","CM75_PF150907","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-12","CM85_PF150912","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-11","CM91_PF150911","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-07-15","CN46_PF150715","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-14","CN81_PF150914","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-07-31","CO46_PF150731","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-11","CQ101_PF150911","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-30","CR39_PF150930","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-03","CR70_PF150903","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-10-01","CS39_PF151001","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-04","CS60_PF150904","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-16","CS62_PF150916","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-17","CT57_PF150917","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-06","CT58_PF150806","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-24","CT59_PF150824","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-24","CT60_PF150824","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-10","CT98_PF150910","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-20","CU61_PF150920","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-01","CU69_PF150901","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-07","CV58_PF150807","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-16","CV61_PF150916","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-22","CV62_PF150922","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-31","CV69_PF150831","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-18","CW58_PF150918","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-22","CW60_PF150922","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-23","CW62_PF150923","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-31","CW69_PF150831","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-08","CW96_PF150908","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-10","CX56_PF150910","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-02","CX66_PF150902","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-05","CX67_PF150805","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-02","CX68_PF150902","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-23","CY63_PF150923","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-16","CY64_PF150916","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-17","CY65_PF150917","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-05","CY68_PF150805","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-27","CZ67_PF150827","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-05-29","DA61_PF150529","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-05-27","DA62_PF150527","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-06-03","DA63_PF150603","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-06-03","DA64_PF150603","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-06-04","DA65_PF150604","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-04","DA66_PF150804","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-25","DB57_PF150925","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-05-28","DB61_PF150528","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-05-28","DB63_PF150528","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-06-02","DB64_PF150602","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-06-02","DB65_PF150602","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-25","DB66_PF150825","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-26","DB67_PF150826","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-07-29","DB72_PF150729","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-03","DC58_PF150903","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-07-15","DC59_PF150715","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-07-14","DC60_PF150714","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-05-27","DC61_PF150527","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-05-27","DC62_PF150527","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-05-27","DC63_PF150527","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-06-01","DC64_PF150601","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-06-03","DC65_PF150603","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-02","DD58_PF150902","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-07-13","DD59_PF150713","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-07-14","DD60_PF150714","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-05-29","DD62_PF150529","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-07-26","DD71_PF150726","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-07-27","DD73_PF150727","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2016-07-01","DE58_PF160701","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-27","DE59_PF150827","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-24","DF57_PF150924","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-22","DF58_PF150922","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-07-28","DF70_PF150728","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-07-28","DF71_PF150728","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-22","DG57_PF150922","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-21","DH57_PF150921","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-26","DO55_PF150826","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-07-22","DP69_PF150722","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-07-23","DP70_PF150723","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-11","DQ59_PF150811","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-14","DQ60_PF150814","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-16","DS58_PF150816","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-12","DS61_PF150812","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-07-20","DS63_PF150720","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-20","DT51_PF150820","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-14","DT59_PF150814","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-15","DT60_PF150815","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-12","DT61_PF150812","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-19","DU53_PF150819","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-17","DU54_PF150817","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-18","DV54_PF150818","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-22","S170_PF150922","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-22","S172_PF150922","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-25","V167_PF150925","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-23","Y168_PF150923","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2016-09-07","Y168_PF160907","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"panama_bci","2010-01-18","2010","SA","stri_bci",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/stri_bci/ALS_tile","32617"
"peru_tambopata","2011-05-22","2011","SA","hill_peru",NA,NA,"southamerica","/gpfs/data1/vclgp/data/gedi/incoming/southamerica/hill_peru/ALS","32719"
"poland_bialowieza","9/1/2015","2015","Eu","icos_bialowieza",NA,NA,"europe","/gpfs/data1/vclgp/data/gedi/incoming/europe/icos_bialowieza/ALS","2180"
"spain_soria_i","2010-10-01","2010","Eu","demiguel_soriai","ALS60 II","2010","europe","/gpfs/data1/vclgp/data/gedi/incoming/europe/demiguel_soriai/ALS","25830"
"spain_soria_ii","2010-10-01","2010","Eu","demiguel_soriaii","ALS60 II","2010","europe","/gpfs/data1/vclgp/data/gedi/incoming/europe/demiguel_soriaii/ALS","25830"
"spain_valsaincircle","7/1/2007","2007","Eu","silvanet_valsain",NA,NA,"europe","/gpfs/data1/vclgp/data/gedi/incoming/europe/silvanet_valsain/ValsainGEDIdata/Lidar/LAS","25830"
"spain_valsainrect","7/1/2001","2007","Eu","silvanet_valsain",NA,NA,"europe","/gpfs/data1/vclgp/data/gedi/incoming/europe/silvanet_valsain/ValsainGEDIdata/Lidar/LAS","25830"
"switzerland_laegeren","2011-01-01","2011","Eu","veg3D_laegeren",NA,NA,"europe","/gpfs/data1/vclgp/data/gedi/incoming/europe/veg3D_laegeren/ALS/leafon","21781"
"tanzania_amani","1/1/2012","2012","Af","amani",NA,NA,"africa","/gpfs/data1/vclgp/data/gedi/incoming/africa/amani/LasZ","32736"
"tanzania_liwale","2014-01-01","2014","Af","tanzania_wwf_germany",NA,NA,"africa","/gpfs/data1/vclgp/data/gedi/incoming/africa/tanzania_wwf_germany/Liwale/2014/LAS_Z","32736"
"usa_clearcreekselway","2016-06-30","2016","US","boschetti_idaho_clearcreek",NA,NA,"usa","/gpfs/data1/vclgp/data/gedi/incoming/usa/boschetti_idaho_clearcreek/ALS","26911"
"usa_clearcreekselway","2016-07-20","2016","US","boschetti_idaho_selway",NA,NA,"usa","/gpfs/data1/vclgp/data/gedi/incoming/usa/boschetti_idaho_selway/ALS","26911"
"usa_cflra","2015-07-27","2015","US","cflra_clearcreek","Leica ALS60","2009","usa","/gpfs/data1/vclgp/data/gedi/incoming/usa/cflra_clearcreek/ALS","26911"
"usa_cflra","2015-08-14","2015","US","cflra_powell","Leica ALS50-II and Leica ALS60","2011","usa","/gpfs/data1/vclgp/data/gedi/incoming/usa/cflra_powell/ALS","26911"
"usa_cflra","2015-07-20","2015","US","cflra_waldepeteking","Leica ALS50-II","2010","usa","/gpfs/data1/vclgp/data/gedi/incoming/usa/cflra_waldepeteking/ALS","26911"
"usa_cflra","2015-07-22","2015","US","cflra_selwayriverelkcreek","Leica ALS50-II and Leica ALS60","2012","usa","/gpfs/data1/vclgp/data/gedi/incoming/usa/cflra_selwayriverelkcreek/ALS","26911"
